palavra,canonicidade,tonicidade
aba,False,paraxítona
abacate,False,paraxítona
abacaxi,False,oxítona
abafada,False,paraxítona
abafado,False,paraxítona
abafamo,False,paraxítona
abafara,False,paraxítona
abafará,False,oxítona
abafava,False,paraxítona
abafemo,False,paraxítona
abaixa,False,paraxítona
abaixe,False,paraxítona
abaixo,False,paraxítona
abaixá,False,oxítona
abalada,False,paraxítona
abalado,False,paraxítona
abalamo,False,paraxítona
abalara,False,paraxítona
abalará,False,oxítona
abalava,False,paraxítona
abalemo,False,paraxítona
abaliza,False,paraxítona
abalize,False,paraxítona
abalizo,False,paraxítona
abalizá,False,oxítona
abanada,False,paraxítona
abanado,False,paraxítona
abanamo,False,paraxítona
abanara,False,paraxítona
abanará,False,oxítona
abanava,False,paraxítona
abanemo,False,paraxítona
abatamo,False,paraxítona
abatemo,False,paraxítona
abatera,False,paraxítona
abaterá,False,oxítona
abatida,False,paraxítona
abatido,False,paraxítona
abaulá,False,oxítona
abdica,False,paraxítona
abdicadas,False,paraxítona
abdicados,False,paraxítona
abdicamos,False,paraxítona
abdicaras,False,paraxítona
abdicares,False,paraxítona
abdicarás,False,oxítona
abdicavas,False,paraxítona
abdico,False,paraxítona
abdicá,False,oxítona
abdome,False,paraxítona
abdominal,False,oxítona
abeira,False,paraxítona
abeire,False,paraxítona
abeiro,False,paraxítona
abeirá,False,oxítona
abjeta,False,paraxítona
abjeto,False,paraxítona
abjura,False,paraxítona
abjuradas,False,paraxítona
abjurados,False,paraxítona
abjuramos,False,paraxítona
abjuraras,False,paraxítona
abjurares,False,paraxítona
abjurarás,False,oxítona
abjuravas,False,paraxítona
abjure,False,paraxítona
abjuremos,False,paraxítona
abjuro,False,paraxítona
abjurá,False,oxítona
abnega,False,paraxítona
abnegadas,False,paraxítona
abnegados,False,paraxítona
abnegamos,False,paraxítona
abnegaras,False,paraxítona
abnegares,False,paraxítona
abnegarás,False,oxítona
abnegavas,False,paraxítona
abnego,False,paraxítona
abnegá,False,oxítona
abobada,False,paraxítona
abobade,False,paraxítona
abobado,False,paraxítona
abobadá,False,oxítona
aboleta,False,paraxítona
abolete,False,paraxítona
aboleto,False,paraxítona
aboletá,False,oxítona
abolida,False,paraxítona
abolido,False,paraxítona
abolimo,False,paraxítona
abolira,False,paraxítona
abolirá,False,oxítona
abomina,False,paraxítona
abomine,False,paraxítona
abomino,False,paraxítona
abominá,False,oxítona
abonado,False,paraxítona
abrace,False,paraxítona
abracemos,False,paraxítona
abramo,False,paraxítona
abrasa,False,paraxítona
abrasadas,False,paraxítona
abrasador,False,oxítona
abrasados,False,paraxítona
abrasamos,False,paraxítona
abrasaras,False,paraxítona
abrasares,False,paraxítona
abrasarás,False,oxítona
abrasavas,False,paraxítona
abrase,False,paraxítona
abrasemos,False,paraxítona
abrasivas,False,paraxítona
abrasivos,False,paraxítona
abraso,False,paraxítona
abrasá,False,oxítona
abraça,False,paraxítona
abraçadas,False,paraxítona
abraçados,False,paraxítona
abraçamos,False,paraxítona
abraçaras,False,paraxítona
abraçares,False,paraxítona
abraçarás,False,oxítona
abraçavas,False,paraxítona
abraço,False,paraxítona
abraçá,False,oxítona
abricó,False,oxítona
abridores,False,paraxítona
abriga,False,paraxítona
abrigadas,False,paraxítona
abrigados,False,paraxítona
abrigamos,False,paraxítona
abrigaras,False,paraxítona
abrigares,False,paraxítona
abrigarás,False,oxítona
abrigavas,False,paraxítona
abrigo,False,paraxítona
abrigá,False,oxítona
abrimo,False,paraxítona
abrira,False,paraxítona
abriremos,False,paraxítona
abrirá,False,oxítona
abríramos,False,proparoxítona
abside,False,paraxítona
absolutas,False,paraxítona
absolutos,False,paraxítona
abusada,False,paraxítona
abusado,False,paraxítona
abusamo,False,paraxítona
abusara,False,paraxítona
abusará,False,oxítona
abusava,False,paraxítona
abusemo,False,paraxítona
abusiva,False,paraxítona
abusivo,False,paraxítona
abóbada,False,proparoxítona
abóboda,False,proparoxítona
abóbora,False,proparoxítona
acabada,False,paraxítona
acabado,False,paraxítona
acabamo,False,paraxítona
acabara,False,paraxítona
acabará,False,oxítona
acabava,False,paraxítona
acabemo,False,paraxítona
acalora,False,paraxítona
acalore,False,paraxítona
acaloro,False,paraxítona
acalorá,False,oxítona
acamada,False,paraxítona
acamado,False,paraxítona
acasala,False,paraxítona
acasale,False,paraxítona
acasalo,False,paraxítona
acasalá,False,oxítona
acatada,False,paraxítona
acatado,False,paraxítona
acatamo,False,paraxítona
acatara,False,paraxítona
acatará,False,oxítona
acatava,False,paraxítona
acatemo,False,paraxítona
acaçapa,False,paraxítona
acaçape,False,paraxítona
acaçapo,False,paraxítona
acaçapá,False,oxítona
aceita,False,paraxítona
aceite,False,paraxítona
aceito,False,paraxítona
aceitá,False,oxítona
acelera,False,paraxítona
acelere,False,paraxítona
acelero,False,paraxítona
acelerá,False,oxítona
acenada,False,paraxítona
acenado,False,paraxítona
acenamo,False,paraxítona
acenara,False,paraxítona
acenará,False,oxítona
