palavra,canonicidade,tonicidade
erocapucasçásemos,False,NA
mastonospicoçáseun,False,NA
vamosgitopiçáati,False,NA
ciputeosmóseto,False,NA
gitofinimótepu,True,proparoxítona
dicodaunmónici,False,NA
picosfigomólanos,False,NA
üilomasorsêxvala,False,NA
aervinisêxcasgi,False,NA
osocpicrécosun,False,NA
osnificrénosci,False,NA
tipugicrécosci,False,NA
mosvatipudécaos,False,NA
tigimasmosdétela,False,NA
vacodanidétepu,True,proparoxítona
vaerortodépica,False,NA
latuptolímcooc,False,NA
masdamoslímdior,False,NA
amascaslímfios,False,NA
tuposcaráocmos,False,NA
pigierráteoc,False,NA
casmosüiráorpi,False,NA
masüimosrácaci,False,NA
secasarátupun,False,NA
pufiditámasgo,False,NA
toorvatágica,False,NA
lafipupicicrôdise,False,NA
osdafivicascrôtiun,False,NA
vimasocpóvate,False,NA
gipivapómosse,False,NA
costuposcaüiórtidi,False,NA
gimoscanosgoórdiüi,False,NA
maslaticostupórseva,False,NA
daselaüitocráospi,False,NA
undateniorcrácipu,False,NA
orpucascaoscráocgi,False,NA
erpiatoüicráosco,False,NA
avicasergicrápila,False,NA
locamosmastógite,False,NA
titofioctóüier,False,NA
unvifigotócoer,False,NA
gicapiráseüi,True,proparoxítona
casoslaráora,False,NA
totenirágia,False,NA
vicasmascosfríocpi,False,NA
uncitupcasfríerfi,False,NA
orcounmasfríüito,False,NA
cosatupnosséqdite,False,NA
vatupertoséqpucas,False,NA
givituperséqtolo,False,NA
pigierunséqcaci,False,NA
