palavra,canonicidade,tonicidade
aba,False,paroxítona
abacate,False,paroxítona
abacaxi,False,oxítona
abafada,False,paroxítona
abafado,False,paroxítona
abafamo,False,paroxítona
abafara,False,paroxítona
abafará,False,oxítona
abafava,False,paroxítona
abafemo,False,paroxítona
abaixa,False,paroxítona
abaixe,False,paroxítona
abaixo,False,paroxítona
abaixá,False,oxítona
abalada,False,paroxítona
abalado,False,paroxítona
abalamo,False,paroxítona
abalara,False,paroxítona
abalará,False,oxítona
abalava,False,paroxítona
abalemo,False,paroxítona
abaliza,False,paroxítona
abalize,False,paroxítona
abalizo,False,paroxítona
abalizá,False,oxítona
abanada,False,paroxítona
abanado,False,paroxítona
abanamo,False,paroxítona
abanara,False,paroxítona
abanará,False,oxítona
abanava,False,paroxítona
abanemo,False,paroxítona
abatamo,False,paroxítona
abatemo,False,paroxítona
abatera,False,paroxítona
abaterá,False,oxítona
abatida,False,paroxítona
abatido,False,paroxítona
abaulá,False,oxítona
abdica,False,paroxítona
abdicadas,False,paroxítona
abdicados,False,paroxítona
abdicamos,False,paroxítona
abdicaras,False,paroxítona
abdicares,False,paroxítona
abdicarás,False,oxítona
abdicavas,False,paroxítona
abdico,False,paroxítona
abdicá,False,oxítona
abdome,False,paroxítona
abdominal,False,oxítona
abeira,False,paroxítona
abeire,False,paroxítona
abeiro,False,paroxítona
abeirá,False,oxítona
abjeta,False,paroxítona
abjeto,False,paroxítona
abjura,False,paroxítona
abjuradas,False,paroxítona
abjurados,False,paroxítona
abjuramos,False,paroxítona
abjuraras,False,paroxítona
abjurares,False,paroxítona
abjurarás,False,oxítona
abjuravas,False,paroxítona
abjure,False,paroxítona
abjuremos,False,paroxítona
abjuro,False,paroxítona
abjurá,False,oxítona
abnega,False,paroxítona
abnegadas,False,paroxítona
abnegados,False,paroxítona
abnegamos,False,paroxítona
abnegaras,False,paroxítona
abnegares,False,paroxítona
abnegarás,False,oxítona
abnegavas,False,paroxítona
abnego,False,paroxítona
abnegá,False,oxítona
abobada,False,paroxítona
abobade,False,paroxítona
abobado,False,paroxítona
abobadá,False,oxítona
aboleta,False,paroxítona
abolete,False,paroxítona
aboleto,False,paroxítona
aboletá,False,oxítona
abolida,False,paroxítona
abolido,False,paroxítona
abolimo,False,paroxítona
abolira,False,paroxítona
abolirá,False,oxítona
abomina,False,paroxítona
abomine,False,paroxítona
abomino,False,paroxítona
abominá,False,oxítona
abonado,False,paroxítona
abrace,False,paroxítona
abracemos,False,paroxítona
abramo,False,paroxítona
abrasa,False,paroxítona
abrasadas,False,paroxítona
abrasador,False,oxítona
abrasados,False,paroxítona
abrasamos,False,paroxítona
abrasaras,False,paroxítona
abrasares,False,paroxítona
abrasarás,False,oxítona
abrasavas,False,paroxítona
abrase,False,paroxítona
abrasemos,False,paroxítona
abrasivas,False,paroxítona
abrasivos,False,paroxítona
abraso,False,paroxítona
abrasá,False,oxítona
abraça,False,paroxítona
abraçadas,False,paroxítona
abraçados,False,paroxítona
abraçamos,False,paroxítona
abraçaras,False,paroxítona
abraçares,False,paroxítona
abraçarás,False,oxítona
abraçavas,False,paroxítona
abraço,False,paroxítona
abraçá,False,oxítona
abricó,False,oxítona
abridores,False,paroxítona
abriga,False,paroxítona
abrigadas,False,paroxítona
abrigados,False,paroxítona
abrigamos,False,paroxítona
abrigaras,False,paroxítona
abrigares,False,paroxítona
abrigarás,False,oxítona
abrigavas,False,paroxítona
abrigo,False,paroxítona
abrigá,False,oxítona
abrimo,False,paroxítona
abrira,False,paroxítona
abriremos,False,paroxítona
abrirá,False,oxítona
abríramos,False,proparoxítona
abside,False,paroxítona
absolutas,False,paroxítona
absolutos,False,paroxítona
abusada,False,paroxítona
abusado,False,paroxítona
abusamo,False,paroxítona
abusara,False,paroxítona
abusará,False,oxítona
abusava,False,paroxítona
abusemo,False,paroxítona
abusiva,False,paroxítona
abusivo,False,paroxítona
abóbada,False,proparoxítona
abóboda,False,proparoxítona
abóbora,False,proparoxítona
acabada,False,paroxítona
acabado,False,paroxítona
acabamo,False,paroxítona
acabara,False,paroxítona
acabará,False,oxítona
acabava,False,paroxítona
acabemo,False,paroxítona
acalora,False,paroxítona
acalore,False,paroxítona
acaloro,False,paroxítona
acalorá,False,oxítona
acamada,False,paroxítona
acamado,False,paroxítona
acasala,False,paroxítona
acasale,False,paroxítona
acasalo,False,paroxítona
acasalá,False,oxítona
acatada,False,paroxítona
acatado,False,paroxítona
acatamo,False,paroxítona
acatara,False,paroxítona
acatará,False,oxítona
acatava,False,paroxítona
acatemo,False,paroxítona
acaçapa,False,paroxítona
acaçape,False,paroxítona
acaçapo,False,paroxítona
acaçapá,False,oxítona
aceita,False,paroxítona
aceite,False,paroxítona
aceito,False,paroxítona
aceitá,False,oxítona
acelera,False,paroxítona
acelere,False,paroxítona
acelero,False,paroxítona
acelerá,False,oxítona
acenada,False,paroxítona
acenado,False,paroxítona
acenamo,False,paroxítona
acenara,False,paroxítona
acenará,False,oxítona
acenava,False,paroxítona
acenemo,False,paroxítona
acerola,False,paroxítona
acetato,False,paroxítona
acetina,False,paroxítona
acetine,False,paroxítona
acetino,False,paroxítona
acetiná,False,oxítona
acetona,False,paroxítona
achada,False,paroxítona
achado,False,paroxítona
achamo,False,paroxítona
achara,False,paroxítona
acharemos,False,paroxítona
achará,False,oxítona
achatadas,False,paroxítona
achatados,False,paroxítona
achava,False,paroxítona
achega,False,paroxítona
achegadas,False,paroxítona
achegados,False,paroxítona
achegamos,False,paroxítona
achegaras,False,paroxítona
achegares,False,paroxítona
achegarás,False,oxítona
achegavas,False,paroxítona
achego,False,paroxítona
achegá,False,oxítona
achemo,False,paroxítona
acháramos,False,proparoxítona
achávamos,False,proparoxítona
acicate,False,paroxítona
acidose,False,paroxítona
acidula,False,paroxítona
acidule,False,paroxítona
acidulo,False,paroxítona
acidulá,False,oxítona
aclama,False,paroxítona
aclamadas,False,paroxítona
aclamados,False,paroxítona
aclamamos,False,paroxítona
aclamaras,False,paroxítona
aclamares,False,paroxítona
aclamarás,False,oxítona
aclamavas,False,paroxítona
aclame,False,paroxítona
aclamemos,False,paroxítona
aclamo,False,paroxítona
aclamá,False,oxítona
aclara,False,paroxítona
aclaradas,False,paroxítona
aclarados,False,paroxítona
aclaramos,False,paroxítona
aclararas,False,paroxítona
aclarares,False,paroxítona
aclararás,False,oxítona
aclaravas,False,paroxítona
aclare,False,paroxítona
aclaremos,False,paroxítona
aclaro,False,paroxítona
aclará,False,oxítona
aclimatar,False,oxítona
aclimatas,False,paroxítona
aclimates,False,paroxítona
aclive,False,paroxítona
acometa,False,paroxítona
acomete,False,paroxítona
acometi,False,oxítona
acometo,False,paroxítona
acometê,False,oxítona
acomoda,False,paroxítona
acomode,False,paroxítona
acomodo,False,paroxítona
acomodá,False,oxítona
acreditar,False,oxítona
acreditas,False,paroxítona
acredites,False,paroxítona
acrisolar,False,oxítona
acrisolas,False,paroxítona
acrisoles,False,paroxítona
acrobatas,False,paroxítona
acrílicas,False,proparoxítona
acrílicos,False,proparoxítona
acrópoles,False,proparoxítona
acuai,False,oxítona
acudamo,False,paroxítona
acudida,False,paroxítona
acudido,False,paroxítona
acudimo,False,paroxítona
acudira,False,paroxítona
acudirá,False,oxítona
acuei,False,oxítona
acumula,False,paroxítona
acumule,False,paroxítona
acumulo,False,paroxítona
acumulá,False,oxítona
acuou,False,oxítona
acurada,False,paroxítona
acurado,False,paroxítona
acusada,False,paroxítona
acusado,False,paroxítona
acusamo,False,paroxítona
acusara,False,paroxítona
acusará,False,oxítona
acusava,False,paroxítona
acusemo,False,paroxítona
acutila,False,paroxítona
acutile,False,paroxítona
acutilo,False,paroxítona
acutilá,False,oxítona
acéfala,False,proparoxítona
acéfalo,False,proparoxítona
acólito,False,proparoxítona
acúmulo,False,proparoxítona
adequai,False,oxítona
adequou,False,oxítona
adereço,False,paroxítona
aderida,False,paroxítona
aderido,False,paroxítona
aderimo,False,paroxítona
aderira,False,paroxítona
aderirá,False,oxítona
adesiva,False,paroxítona
adesivo,False,paroxítona
adi,False,oxítona
adiposa,False,paroxítona
adiposo,False,paroxítona
adiremo,False,paroxítona
aditada,False,paroxítona
aditado,False,paroxítona
aditamo,False,paroxítona
aditara,False,paroxítona
aditará,False,oxítona
aditava,False,paroxítona
aditemo,False,paroxítona
aditiva,False,paroxítona
aditivo,False,paroxítona
adiu,False,oxítona
adjetivar,False,oxítona
adjetivas,False,paroxítona
adjetives,False,paroxítona
adjetivos,False,paroxítona
adjudicar,False,oxítona
adjudicas,False,paroxítona
admira,False,paroxítona
admiradas,False,paroxítona
admirador,False,oxítona
admirados,False,paroxítona
admiramos,False,paroxítona
admiraras,False,paroxítona
admirares,False,paroxítona
admirarás,False,oxítona
admiravas,False,paroxítona
admire,False,paroxítona
admiremos,False,paroxítona
admiro,False,paroxítona
admirá,False,oxítona
admirável,False,paroxítona
admita,False,paroxítona
admitamos,False,paroxítona
admite,False,paroxítona
admiti,False,oxítona
admitidas,False,paroxítona
admitidos,False,paroxítona
admitimos,False,paroxítona
admitiras,False,paroxítona
admitires,False,paroxítona
admitirás,False,oxítona
admito,False,paroxítona
adocemo,False,paroxítona
adocica,False,paroxítona
adocico,False,paroxítona
adocicá,False,oxítona
adorada,False,paroxítona
adorado,False,paroxítona
adoramo,False,paroxítona
adorara,False,paroxítona
adorará,False,oxítona
adorava,False,paroxítona
adoremo,False,paroxítona
adotada,False,paroxítona
adotado,False,paroxítona
adotamo,False,paroxítona
adotara,False,paroxítona
adotará,False,oxítona
adotava,False,paroxítona
adotemo,False,paroxítona
